Tick 1 0_6 attacks 1_9 with 49100, killing 3 units
0_2 attacks 1_6 with 33520, killing 0 units
1_7 attacks 0_6 with 41344, killing 6 units
0_0 attacks 1_1 with 59301, killing 1 units
1_0 attacks 0_3 with 174058, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1930_6 attacks 1_5 with 66080, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 180796, killing 20 units
0_4 attacks 1_3 with 118092, killing 2 units
0_8 attacks 1_9 with 17384, killing 1 units
0_1 attacks 1_7 with 102160, killing 3 units
1_5 attacks 0_9 with 156780, killing 22 units
0_3 attacks 1_0 with 58220, killing 1 units
0_9 attacks 1_8 with 544, killing 0 units
1_3 attacks 0_0 with 60319, killing 6 units
1_9 attacks 0_1 with 24720, killing 3 units
0_2 attacks 1_6 with 33360, killing 0 units
1_7 attacks 0_6 with 41242, killing 6 units
0_0 attacks 1_1 with 59103, killing 1 units
1_0 attacks 0_3 with 174000, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1940_6 attacks 1_5 with 65840, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 180752, killing 20 units
0_4 attacks 1_3 with 117676, killing 2 units
0_8 attacks 1_9 with 17056, killing 1 units
0_1 attacks 1_7 with 102112, killing 3 units
1_5 attacks 0_9 with 156720, killing 22 units
0_3 attacks 1_0 with 58040, killing 1 units
0_9 attacks 1_8 with 192, killing 0 units
1_3 attacks 0_0 with 60221, killing 6 units
1_9 attacks 0_1 with 24705, killing 3 units
0_2 attacks 1_6 with 33200, killing 0 units
1_7 attacks 0_6 with 41140, killing 6 units
0_0 attacks 1_1 with 58905, killing 1 units
1_0 attacks 0_3 with 173942, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1950_6 attacks 1_5 with 65600, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 180708, killing 20 units
0_4 attacks 1_3 with 117260, killing 2 units
0_8 attacks 1_9 with 16728, killing 1 units
0_1 attacks 1_7 with 102064, killing 3 units
1_5 attacks 0_9 with 156660, killing 22 units
0_3 attacks 1_0 with 57860, killing 1 units
1_3 attacks 0_0 with 60123, killing 6 units
1_9 attacks 0_1 with 24690, killing 3 units
0_2 attacks 1_6 with 33040, killing 0 units
1_7 attacks 0_6 with 41038, killing 6 units
0_0 attacks 1_1 with 58707, killing 1 units
1_0 attacks 0_3 with 173884, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1960_6 attacks 1_5 with 65360, killing 1 units
1_1 attacks 0_2 with 180664, killing 20 units
0_4 attacks 1_3 with 116844, killing 2 units
0_8 attacks 1_9 with 16728, killing 1 units
0_1 attacks 1_7 with 102016, killing 3 units
1_5 attacks 0_0 with 78300, killing 8 units
0_3 attacks 1_0 with 57680, killing 1 units
1_3 attacks 0_8 with 60025, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 32880, killing 0 units
1_7 attacks 0_6 with 40936, killing 6 units
0_0 attacks 1_1 with 58443, killing 1 units
1_0 attacks 0_3 with 173826, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1970_6 attacks 1_5 with 65120, killing 1 units
1_1 attacks 0_2 with 180620, killing 20 units
0_4 attacks 1_3 with 116428, killing 2 units
0_8 attacks 1_9 with 15088, killing 0 units
0_1 attacks 1_7 with 101968, killing 3 units
1_5 attacks 0_0 with 78270, killing 8 units
0_3 attacks 1_0 with 57500, killing 1 units
1_3 attacks 0_8 with 59927, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 32720, killing 0 units
1_7 attacks 0_6 with 40834, killing 6 units
0_0 attacks 1_1 with 58179, killing 1 units
1_0 attacks 0_3 with 173768, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1980_6 attacks 1_5 with 64880, killing 1 units
1_1 attacks 0_2 with 180576, killing 20 units
0_4 attacks 1_3 with 116012, killing 2 units
0_8 attacks 1_9 with 13448, killing 0 units
0_1 attacks 1_7 with 101920, killing 3 units
1_5 attacks 0_0 with 78240, killing 8 units
0_3 attacks 1_0 with 57330, killing 1 units
1_3 attacks 0_8 with 59829, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 32560, killing 0 units
1_7 attacks 0_6 with 40732, killing 6 units
0_0 attacks 1_1 with 57915, killing 1 units
1_0 attacks 0_3 with 173710, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1990_6 attacks 1_5 with 64640, killing 1 units
1_1 attacks 0_2 with 180532, killing 20 units
0_4 attacks 1_3 with 115596, killing 2 units
0_8 attacks 1_9 with 11808, killing 0 units
0_1 attacks 1_7 with 101872, killing 3 units
1_5 attacks 0_0 with 78210, killing 8 units
0_3 attacks 1_0 with 57160, killing 1 units
1_3 attacks 0_8 with 59731, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 32400, killing 0 units
1_7 attacks 0_6 with 40630, killing 6 units
0_0 attacks 1_1 with 57651, killing 1 units
1_0 attacks 0_3 with 173652, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2000_6 attacks 1_5 with 64400, killing 1 units
1_1 attacks 0_2 with 180488, killing 20 units
0_4 attacks 1_3 with 115180, killing 2 units
0_8 attacks 1_9 with 10168, killing 0 units
0_1 attacks 1_7 with 101824, killing 3 units
1_5 attacks 0_0 with 78180, killing 8 units
0_3 attacks 1_0 with 56990, killing 1 units
1_3 attacks 0_8 with 59633, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 32240, killing 0 units
1_7 attacks 0_6 with 40528, killing 6 units
0_0 attacks 1_1 with 57387, killing 1 units
1_0 attacks 0_3 with 173594, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2010_6 attacks 1_5 with 64160, killing 1 units
1_1 attacks 0_2 with 180444, killing 20 units
0_4 attacks 1_3 with 114764, killing 2 units
0_8 attacks 1_9 with 8528, killing 0 units
0_1 attacks 1_7 with 101776, killing 3 units
1_5 attacks 0_0 with 78150, killing 8 units
0_3 attacks 1_0 with 56820, killing 1 units
1_3 attacks 0_8 with 59535, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 32080, killing 0 units
1_7 attacks 0_6 with 40426, killing 6 units
0_0 attacks 1_1 with 57123, killing 1 units
1_0 attacks 0_3 with 173536, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2020_6 attacks 1_5 with 63920, killing 1 units
1_1 attacks 0_2 with 180400, killing 20 units
0_4 attacks 1_3 with 114348, killing 2 units
0_8 attacks 1_9 with 6888, killing 0 units
0_1 attacks 1_7 with 101728, killing 3 units
1_5 attacks 0_4 with 78120, killing 8 units
0_3 attacks 1_0 with 56650, killing 1 units
1_3 attacks 0_0 with 59437, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 31920, killing 0 units
1_7 attacks 0_8 with 40324, killing 3 units
0_0 attacks 1_1 with 56925, killing 1 units
1_0 attacks 0_3 with 173478, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2030_6 attacks 1_5 with 63440, killing 1 units
1_1 attacks 0_2 with 180356, killing 20 units
0_4 attacks 1_3 with 113932, killing 2 units
0_8 attacks 1_9 with 5904, killing 0 units
0_1 attacks 1_7 with 101680, killing 3 units
1_5 attacks 0_4 with 78090, killing 8 units
0_3 attacks 1_0 with 56480, killing 1 units
1_3 attacks 0_0 with 59339, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 31760, killing 0 units
1_7 attacks 0_8 with 40222, killing 3 units
0_0 attacks 1_1 with 56727, killing 1 units
1_0 attacks 0_3 with 173420, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2040_6 attacks 1_5 with 62960, killing 1 units
1_1 attacks 0_2 with 180312, killing 20 units
0_4 attacks 1_3 with 113516, killing 2 units
0_8 attacks 1_9 with 4920, killing 0 units
0_1 attacks 1_7 with 101632, killing 3 units
1_5 attacks 0_4 with 78060, killing 8 units
0_3 attacks 1_0 with 56310, killing 1 units
1_3 attacks 0_0 with 59241, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 31600, killing 0 units
1_7 attacks 0_8 with 40120, killing 3 units
0_0 attacks 1_1 with 56529, killing 1 units
1_0 attacks 0_3 with 173362, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2050_6 attacks 1_5 with 62480, killing 1 units
1_1 attacks 0_2 with 180268, killing 20 units
0_4 attacks 1_3 with 113100, killing 2 units
0_8 attacks 1_9 with 3936, killing 0 units
0_1 attacks 1_7 with 101584, killing 3 units
1_5 attacks 0_4 with 78030, killing 8 units
0_3 attacks 1_0 with 56140, killing 1 units
1_3 attacks 0_0 with 59143, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 31440, killing 0 units
1_7 attacks 0_8 with 40018, killing 3 units
0_0 attacks 1_1 with 56331, killing 1 units
1_0 attacks 0_3 with 173304, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2060_6 attacks 1_5 with 62000, killing 1 units
1_1 attacks 0_2 with 180224, killing 20 units
0_4 attacks 1_3 with 112684, killing 2 units
0_8 attacks 1_9 with 2952, killing 0 units
0_1 attacks 1_7 with 101536, killing 3 units
1_5 attacks 0_4 with 78000, killing 8 units
0_3 attacks 1_0 with 55970, killing 1 units
1_3 attacks 0_0 with 59045, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 31280, killing 0 units
1_7 attacks 0_8 with 39916, killing 3 units
0_0 attacks 1_1 with 56133, killing 1 units
1_0 attacks 0_3 with 173246, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2070_6 attacks 1_5 with 61520, killing 1 units
1_1 attacks 0_2 with 180180, killing 20 units
0_4 attacks 1_3 with 112268, killing 2 units
0_8 attacks 1_9 with 1968, killing 0 units
0_1 attacks 1_7 with 101488, killing 3 units
1_5 attacks 0_4 with 77970, killing 8 units
0_3 attacks 1_0 with 55800, killing 1 units
1_3 attacks 0_0 with 58947, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 31120, killing 0 units
1_7 attacks 0_8 with 39814, killing 3 units
0_0 attacks 1_1 with 55935, killing 1 units
1_0 attacks 0_3 with 173188, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2080_6 attacks 1_5 with 61040, killing 1 units
1_1 attacks 0_2 with 180136, killing 20 units
0_4 attacks 1_3 with 111852, killing 2 units
0_8 attacks 1_9 with 984, killing 0 units
0_1 attacks 1_7 with 101440, killing 3 units
1_5 attacks 0_0 with 77940, killing 8 units
0_3 attacks 1_0 with 55630, killing 1 units
1_3 attacks 0_8 with 58849, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 30960, killing 0 units
1_7 attacks 0_6 with 39712, killing 6 units
0_0 attacks 1_1 with 55671, killing 1 units
1_0 attacks 0_3 with 173130, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2090_6 attacks 1_5 with 60800, killing 1 units
1_1 attacks 0_2 with 180092, killing 20 units
0_4 attacks 1_3 with 111436, killing 2 units
0_1 attacks 1_7 with 101392, killing 3 units
1_5 attacks 0_4 with 77910, killing 8 units
0_3 attacks 1_0 with 55460, killing 1 units
1_3 attacks 0_0 with 58751, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 30800, killing 0 units
0_0 attacks 1_1 with 55473, killing 1 units
1_0 attacks 0_3 with 173072, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2100_6 attacks 1_5 with 60320, killing 1 units
1_1 attacks 0_2 with 180048, killing 20 units
0_4 attacks 1_3 with 111020, killing 2 units
0_1 attacks 1_7 with 101344, killing 3 units
1_5 attacks 0_4 with 77880, killing 8 units
0_3 attacks 1_0 with 55290, killing 1 units
1_3 attacks 0_0 with 58653, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 30640, killing 0 units
0_0 attacks 1_1 with 55275, killing 1 units
1_0 attacks 0_3 with 173014, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2110_6 attacks 1_5 with 59840, killing 1 units
1_1 attacks 0_2 with 180004, killing 20 units
0_4 attacks 1_3 with 110604, killing 2 units
0_1 attacks 1_7 with 101296, killing 3 units
1_5 attacks 0_4 with 77850, killing 8 units
0_3 attacks 1_0 with 55120, killing 1 units
1_3 attacks 0_0 with 58555, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 30480, killing 0 units
0_0 attacks 1_1 with 55077, killing 1 units
1_0 attacks 0_3 with 172956, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2120_6 attacks 1_5 with 59360, killing 1 units
1_1 attacks 0_2 with 179960, killing 20 units
0_4 attacks 1_3 with 110188, killing 2 units
0_1 attacks 1_7 with 101248, killing 3 units
1_5 attacks 0_4 with 77820, killing 8 units
0_3 attacks 1_0 with 54950, killing 1 units
1_3 attacks 0_0 with 58457, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 30320, killing 0 units
0_0 attacks 1_1 with 54879, killing 1 units
1_0 attacks 0_3 with 172898, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2130_6 attacks 1_5 with 58880, killing 1 units
1_1 attacks 0_2 with 179916, killing 20 units
0_4 attacks 1_3 with 109772, killing 2 units
0_1 attacks 1_7 with 101200, killing 3 units
1_5 attacks 0_4 with 77790, killing 8 units
0_3 attacks 1_0 with 54780, killing 1 units
1_3 attacks 0_0 with 58359, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 30160, killing 0 units
0_0 attacks 1_1 with 54681, killing 1 units
1_0 attacks 0_3 with 172840, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2140_6 attacks 1_5 with 58400, killing 1 units
1_1 attacks 0_2 with 179872, killing 20 units
0_4 attacks 1_3 with 109356, killing 2 units
0_1 attacks 1_7 with 101152, killing 3 units
1_5 attacks 0_0 with 77760, killing 8 units
0_3 attacks 1_0 with 54610, killing 1 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 30000, killing 0 units
1_7 attacks 0_6 with 39100, killing 6 units
0_0 attacks 1_1 with 54417, killing 1 units
1_0 attacks 0_3 with 172782, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2150_6 attacks 1_5 with 58160, killing 1 units
1_1 attacks 0_2 with 179828, killing 20 units
0_4 attacks 1_3 with 108940, killing 2 units
0_1 attacks 1_7 with 101104, killing 3 units
1_5 attacks 0_4 with 77730, killing 8 units
0_3 attacks 1_1 with 54440, killing 1 units
1_3 attacks 0_0 with 58163, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 29840, killing 0 units
0_0 attacks 1_0 with 54219, killing 1 units
1_0 attacks 0_3 with 172724, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2160_6 attacks 1_5 with 57680, killing 1 units
1_1 attacks 0_2 with 179784, killing 20 units
0_4 attacks 1_3 with 108524, killing 2 units
0_1 attacks 1_7 with 101056, killing 3 units
1_5 attacks 0_4 with 77700, killing 8 units
0_3 attacks 1_1 with 54270, killing 1 units
1_3 attacks 0_0 with 58065, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 29680, killing 0 units
0_0 attacks 1_0 with 54021, killing 1 units
1_0 attacks 0_3 with 172666, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2170_6 attacks 1_5 with 57200, killing 1 units
1_1 attacks 0_2 with 179740, killing 20 units
0_4 attacks 1_3 with 108108, killing 2 units
0_1 attacks 1_7 with 101008, killing 3 units
1_5 attacks 0_4 with 77670, killing 8 units
0_3 attacks 1_1 with 54100, killing 1 units
1_3 attacks 0_0 with 57967, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 29520, killing 0 units
0_0 attacks 1_0 with 53823, killing 1 units
1_0 attacks 0_3 with 172608, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2180_6 attacks 1_5 with 56720, killing 1 units
1_1 attacks 0_2 with 179696, killing 20 units
0_4 attacks 1_3 with 107692, killing 2 units
0_1 attacks 1_7 with 100960, killing 3 units
1_5 attacks 0_4 with 77640, killing 8 units
0_3 attacks 1_1 with 53930, killing 1 units
1_3 attacks 0_0 with 57869, killing 6 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 29360, killing 0 units
0_0 attacks 1_0 with 53625, killing 1 units
1_0 attacks 0_3 with 172550, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2190_6 attacks 1_5 with 56240, killing 1 units
1_1 attacks 0_2 with 179652, killing 20 units
0_4 attacks 1_3 with 107276, killing 2 units
0_1 attacks 1_7 with 100912, killing 3 units
1_5 attacks 0_4 with 77610, killing 8 units
0_3 attacks 1_1 with 53760, killing 1 units
1_3 attacks 0_0 with 57771, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 29200, killing 0 units
0_0 attacks 1_0 with 53460, killing 1 units
1_0 attacks 0_3 with 172492, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2200_6 attacks 1_5 with 55760, killing 1 units
1_1 attacks 0_2 with 179608, killing 20 units
0_4 attacks 1_3 with 106860, killing 2 units
0_1 attacks 1_7 with 100864, killing 3 units
1_5 attacks 0_0 with 77580, killing 8 units
0_3 attacks 1_1 with 53590, killing 1 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 29040, killing 0 units
1_7 attacks 0_6 with 38488, killing 6 units
0_0 attacks 1_0 with 53196, killing 1 units
1_0 attacks 0_3 with 172434, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2210_6 attacks 1_5 with 55520, killing 1 units
1_1 attacks 0_2 with 179564, killing 20 units
0_4 attacks 1_3 with 106444, killing 2 units
0_1 attacks 1_7 with 100816, killing 3 units
1_5 attacks 0_4 with 77550, killing 8 units
0_3 attacks 1_1 with 53420, killing 1 units
1_3 attacks 0_0 with 57575, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 28880, killing 0 units
0_0 attacks 1_0 with 53031, killing 1 units
1_0 attacks 0_3 with 172376, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2220_6 attacks 1_5 with 55040, killing 1 units
1_1 attacks 0_2 with 179520, killing 20 units
0_4 attacks 1_3 with 106028, killing 2 units
0_1 attacks 1_7 with 100768, killing 3 units
1_5 attacks 0_0 with 77520, killing 8 units
0_3 attacks 1_1 with 53250, killing 1 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 28720, killing 0 units
1_7 attacks 0_6 with 38284, killing 6 units
0_0 attacks 1_0 with 52767, killing 1 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2230_6 attacks 1_5 with 54800, killing 1 units
1_1 attacks 0_2 with 179476, killing 20 units
0_4 attacks 1_3 with 105612, killing 2 units
0_1 attacks 1_7 with 100720, killing 3 units
1_5 attacks 0_4 with 77490, killing 8 units
0_3 attacks 1_1 with 53080, killing 1 units
1_3 attacks 0_0 with 57379, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 28560, killing 0 units
0_0 attacks 1_0 with 52602, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2240_6 attacks 1_5 with 54320, killing 1 units
1_1 attacks 0_2 with 179432, killing 20 units
0_4 attacks 1_3 with 105196, killing 2 units
0_1 attacks 1_7 with 100672, killing 3 units
1_5 attacks 0_0 with 77460, killing 8 units
0_3 attacks 1_1 with 52910, killing 1 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 28400, killing 0 units
1_7 attacks 0_6 with 38080, killing 6 units
0_0 attacks 1_0 with 52338, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2250_6 attacks 1_5 with 54080, killing 1 units
1_1 attacks 0_2 with 179388, killing 20 units
0_4 attacks 1_3 with 104780, killing 2 units
0_1 attacks 1_7 with 100624, killing 3 units
1_5 attacks 0_4 with 77430, killing 8 units
0_3 attacks 1_1 with 52740, killing 1 units
1_3 attacks 0_0 with 57183, killing 5 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 28240, killing 0 units
0_0 attacks 1_0 with 52173, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_6 with 77445, killing 12 units
Tick 2260_6 attacks 1_5 with 53600, killing 1 units
1_1 attacks 0_2 with 179344, killing 20 units
0_4 attacks 1_3 with 104364, killing 2 units
0_1 attacks 1_7 with 100576, killing 3 units
1_5 attacks 0_0 with 77400, killing 8 units
0_3 attacks 1_1 with 52570, killing 1 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 28080, killing 0 units
1_7 attacks 0_6 with 37876, killing 5 units
0_0 attacks 1_0 with 51909, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2270_6 attacks 1_5 with 53400, killing 1 units
1_1 attacks 0_2 with 179300, killing 20 units
0_4 attacks 1_3 with 103948, killing 2 units
0_1 attacks 1_7 with 100528, killing 3 units
1_5 attacks 0_0 with 77370, killing 8 units
0_3 attacks 1_1 with 52400, killing 1 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 27920, killing 0 units
1_7 attacks 0_6 with 37774, killing 5 units
0_0 attacks 1_0 with 51645, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2280_6 attacks 1_5 with 53200, killing 1 units
1_1 attacks 0_2 with 179256, killing 20 units
0_4 attacks 1_3 with 103532, killing 2 units
0_1 attacks 1_7 with 100480, killing 3 units
1_5 attacks 0_0 with 77340, killing 8 units
0_3 attacks 1_1 with 52230, killing 1 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 27760, killing 0 units
1_7 attacks 0_6 with 37672, killing 5 units
0_0 attacks 1_0 with 51381, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2290_6 attacks 1_5 with 53000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_3 with 103116, killing 2 units
0_1 attacks 1_7 with 100432, killing 3 units
1_5 attacks 0_0 with 77310, killing 8 units
0_3 attacks 1_1 with 52060, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 27600, killing 0 units
1_7 attacks 0_6 with 37570, killing 5 units
0_0 attacks 1_0 with 51117, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2300_6 attacks 1_5 with 52800, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_3 with 102700, killing 2 units
0_1 attacks 1_7 with 100384, killing 3 units
1_5 attacks 0_0 with 77280, killing 8 units
0_3 attacks 1_1 with 51890, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 27440, killing 0 units
1_7 attacks 0_6 with 37468, killing 5 units
0_0 attacks 1_0 with 50853, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2310_6 attacks 1_5 with 52600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_3 with 102284, killing 2 units
0_1 attacks 1_7 with 100336, killing 3 units
1_5 attacks 0_0 with 77250, killing 8 units
0_3 attacks 1_1 with 51720, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 27280, killing 0 units
1_7 attacks 0_6 with 37366, killing 5 units
0_0 attacks 1_0 with 50589, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2320_6 attacks 1_5 with 52400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_3 with 101868, killing 2 units
0_1 attacks 1_7 with 100288, killing 3 units
1_5 attacks 0_0 with 77220, killing 8 units
0_3 attacks 1_1 with 51550, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 27120, killing 0 units
1_7 attacks 0_6 with 37264, killing 5 units
0_0 attacks 1_0 with 50325, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2330_6 attacks 1_5 with 52200, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_3 with 101452, killing 2 units
0_1 attacks 1_7 with 100240, killing 3 units
1_5 attacks 0_0 with 77190, killing 8 units
0_3 attacks 1_1 with 51380, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 26960, killing 0 units
1_7 attacks 0_6 with 37162, killing 5 units
0_0 attacks 1_0 with 50061, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2340_6 attacks 1_5 with 52000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_3 with 101036, killing 2 units
0_1 attacks 1_7 with 100192, killing 3 units
1_5 attacks 0_0 with 77160, killing 8 units
0_3 attacks 1_1 with 51210, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 26800, killing 0 units
1_7 attacks 0_6 with 37060, killing 5 units
0_0 attacks 1_0 with 49797, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2350_6 attacks 1_5 with 51800, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_3 with 100620, killing 2 units
0_1 attacks 1_7 with 100144, killing 3 units
1_5 attacks 0_0 with 77130, killing 8 units
0_3 attacks 1_1 with 51040, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 26640, killing 0 units
1_7 attacks 0_6 with 36958, killing 5 units
0_0 attacks 1_0 with 49533, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2360_6 attacks 1_5 with 51600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_3 with 100204, killing 2 units
0_1 attacks 1_7 with 100096, killing 3 units
1_5 attacks 0_0 with 77100, killing 8 units
0_3 attacks 1_1 with 50870, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 26480, killing 0 units
1_7 attacks 0_6 with 36856, killing 5 units
0_0 attacks 1_0 with 49269, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2370_6 attacks 1_5 with 51400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
